client_id,provider_id,name,FILE PATH,file_hash,file_size_bytes,creation_time,modified_time,filename
1,8,AirSea America,"C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2019\Hancock - Air Sea America, Benevon, URG 09302019.PDF",2cbf959d5b7f234204b82ae39833aac47a651ad13d251af50b9bcb119cf7d5e2,109193,2024-10-31 09:39:42,2019-10-15 13:11:28,"Hancock - Air Sea America, Benevon, URG 09302019.PDF"
1,8,AirSea America,"C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2019\Hancock - Air Sea America, Benevon, URG 12162019.pdf",f767888107d73d6892be4ab85878f3dacbf7c0ccd4cb839512cadbf4ef0bfd5f,557647,2024-10-31 09:34:26,2019-12-16 12:03:26,"Hancock - Air Sea America, Benevon, URG 12162019.pdf"
1,8,AirSea America,"C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2019\John Hancock - Air Sea, Benevon & Urban_11122019125611.pdf",ac7b43952f7b7142b53f109f0afa3deb10d30f911000795f3a54e7229b063496,357944,2024-10-31 09:41:58,2019-11-12 13:35:56,"John Hancock - Air Sea, Benevon & Urban_11122019125611.pdf"
1,8,AirSea America,C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2019\John Hancock 401k Payment 04302019.PDF,8d60dc7b495cfac55da78a2aa027c59073b8984a885f8952125ad0032ad8d94d,371295,2024-10-31 09:36:55,2019-05-13 14:08:28,John Hancock 401k Payment 04302019.PDF
1,8,AirSea America,C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2019\John Hancock 401k Payment 05312019.PDF,52c94003e042bb8428ad9b500bef35c3f46ddfb19c88499e7c46ae3dd38280e7,227911,2024-10-31 09:35:21,2019-07-24 12:47:53,John Hancock 401k Payment 05312019.PDF
1,8,AirSea America,C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2019\John Hancock 401k Payment 06302019.pdf,19aaa023ca8f9ee9ee5461658e5fa5febff2f8a79d0089d6eb6bd2a314860be8,352024,2024-10-31 09:39:30,2019-07-15 15:14:24,John Hancock 401k Payment 06302019.pdf
1,8,AirSea America,C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2019\John Hancock 401k Payment 07312019.pdf,f75c9455d9f7071d8eba32b429a396160eb3fe75752cf55575f9e761983f8e4c,346919,2024-10-31 09:49:49,2019-08-15 14:51:14,John Hancock 401k Payment 07312019.pdf
1,8,AirSea America,"C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2020\Hancock - Air Sea America, Benevon, 01132020.pdf",f71da952a40c971bb5d337648460cb8619db6da1d3826954907b1215d228e628,356964,2024-10-31 09:43:57,2020-01-13 12:10:07,"Hancock - Air Sea America, Benevon, 01132020.pdf"
1,8,AirSea America,C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2020\John Hancock - 401K Advisor Fee Rcvd - AirSea and Benevon -.pdf,411de3fa11df214d16754d917b03decef57919a2689aa4e568a0cd6e9134717c,1177255,2024-10-31 09:43:36,2020-10-13 12:12:00,John Hancock - 401K Advisor Fee Rcvd - AirSea and Benevon -.pdf
1,8,AirSea America,C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2020\John Hancock - 401K Advisor Fee Rcvd - AirSea and Benevon -12.14.20.pdf,e84dd424986e0045a63617556197fa1361884a3ec743bcd93c2250bfeb2b7c86,1823691,2024-10-31 09:46:14,2020-12-14 11:55:01,John Hancock - 401K Advisor Fee Rcvd - AirSea and Benevon -12.14.20.pdf
1,8,AirSea America,C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2020\John Hancock - Air Sea and Benevon Chk Rcvd 11.16.2020.pdf,f415ecf58dd68bdcc25d267ced13a18dd580e1f0020c15b9f7e539df57821e81,1800390,2024-10-31 09:47:01,2020-11-16 12:07:25,John Hancock - Air Sea and Benevon Chk Rcvd 11.16.2020.pdf
1,8,AirSea America,C:\Users\ErikKnudsen\Hohimer Wealth Management\Hohimer Company Portal - Company\Hohimer Team Shared 4-15-19\401Ks\Current Plans\Air Sea America\Consulting Fee\2020\John Hancock - Benevon & Air Sea - Advisor fee rcvd 7.14.2020.pdf,9be234977931abc8a1e6f4fb8f7c26f5d6959c3907345bce13d48f364c036bd5,1850646,2024-10-31 09:49:29,2020-07-14 12:12:44,John Hancock - Benevon & Air Sea - Advisor fee rcvd 7.14.2020.pdf
